open,high,low,close,volume,RSI,MACD,Signal,MA_5,MA_20,Volatility,Momentum,Price_Change,Volume_Change,TP,SL,Label,X_Mentions,Google_Trends,Sentiment_Score
105518.0,105980.0,105161.19,105822.22,1218.8757,84.16028881532694,525.4879733391572,305.5636996786724,105058.16799999999,103890.317,432.6593098100199,304.22000000000116,0.2883109990712507,-12.67503974192391,107938.66440000001,104763.9978,0.0,0,0,0
105822.22,105900.0,104836.66,104836.67,1282.22053,61.67384126139553,511.6682428049244,346.7846083039228,105237.572,103969.966,477.70793053787537,-985.5500000000029,-0.931326143034994,5.196988503421629,106933.4034,103788.3033,0.0,0,0,0
104836.66,104923.17,103988.0,104498.0,1819.26717,56.124413555909015,467.99343121479615,371.02637288609753,105189.17199999999,104043.31450000001,510.3837926423127,-338.66999999999825,-0.3230453618948359,41.884108656410305,106587.96,103453.02,0.0,0,0,0
104498.01,104761.9,103851.01,103883.97,1074.99209,47.737463044150964,379.4595653682336,372.71301138252477,104911.772,104081.1805,538.9913788821475,-614.0299999999988,-0.5875997626748841,-40.91070801876781,105961.64940000001,102845.1303,1.0,0,0,0
103883.98,104240.0,103285.71,104053.05,1803.51574,49.95514387065067,319.2589631765586,362.02220174133157,104618.782,104114.693,568.6555661048508,169.08000000000175,0.16275850836273698,67.77014052261538,106134.111,103012.5195,0.0,0,0,0
104053.05,104601.14,104053.04,104180.38,690.9858,51.620077426310914,278.6123493434716,345.3402312617596,104290.414,104161.1375,567.1873113830761,127.33000000000175,0.12237027170274306,-61.686733047309026,106263.98760000001,103138.57620000001,0.0,0,0,0
104180.37,105979.99,103963.63,105928.1,1453.37474,67.56880926901732,383.01090147600917,352.8743653046095,104508.7,104290.2075,670.6996462842851,1747.7200000000012,1.677590348585789,110.33351770759978,108046.66200000001,104868.819,0.0,0,0,0
105928.11,106660.0,105460.0,106454.26,3371.44951,70.70032401313043,502.4127197966591,382.78203620301946,104899.952,104448.1355,708.5068144068362,526.1599999999889,0.4967142807243752,131.97386174470046,108583.3452,105389.7174,0.0,0,0,0
106454.27,107108.62,105165.44,105260.88,2492.11697,57.2078195268094,495.03724731515103,405.2330784254458,105175.334,104543.42899999999,796.6977562349188,-1193.37999999999,-1.1210260632124935,-26.08173538983236,107366.09760000001,104208.2712,0.0,0,0,0
105260.88,105416.67,104742.53,105059.97,980.73261,55.29461462689352,467.59028457532986,417.70451965542264,105376.718,104614.01749999999,787.9436307895674,-200.9100000000035,-0.1908686303971674,-60.646606005816814,107161.1694,104009.3703,0.0,0,0,0
105059.97,105192.17,104569.0,104645.15,1063.96715,51.46741379677952,407.6665355959849,415.6969228435351,105469.67199999999,104672.4655,776.1740857331696,-414.820000000007,-0.39484115596074565,8.4869758740866,106738.053,103598.6985,0.0,0,0,0
104645.15,104645.15,103534.47,103605.88,1293.59737,43.368508979040875,273.1672275854362,387.19098379191536,105005.228,104656.79000000001,800.067365323657,-1039.2699999999895,-0.993137283476575,21.58245393196585,105677.9976,102569.8212,0.0,0,0,0
103605.9,103779.99,102789.0,103002.07,2427.05534,39.4812666085247,116.51008053915575,333.05480314136344,104314.79000000001,104611.2525,813.7046963719675,-603.8099999999977,-0.5827951077680082,87.62061490585744,105062.11140000001,101972.0493,0.0,0,0,0
103002.07,103118.57,102513.87,103032.01,2036.68924,39.769549862566436,-5.1663746171980165,265.4105675896512,103869.016,104569.429,798.7757894882564,29.939999999987776,0.029067376995417504,-16.083938984267242,105092.6502,102001.6899,0.0,0,0,0
103032.0,103195.67,102000.0,102208.0,2300.40217,34.84928157078711,-166.17104604035558,179.09424486364983,103298.622,104486.9885,827.1253759533809,-824.0099999999948,-0.7997611616040401,12.948118192051727,104252.16,101185.92,1.0,0,0,0
102208.01,103356.8,102173.91,103226.29,1134.89093,44.0598314675216,-209.18950888140535,101.43749411463881,103014.85,104458.276,852.5371348138535,1018.2899999999936,0.9962918753913419,-50.6655425385901,105290.8158,102194.02709999999,1.0,0,0,0
103226.29,103357.6,102920.57,103233.9,710.15374,44.12340760290598,-239.90244120551506,33.16950705060803,102940.454,104422.9885,822.858053755721,7.610000000000582,0.0073721529660675245,-37.42537531778495,105298.578,102201.56099999999,1.0,0,0,0
103233.9,103425.53,102999.99,103061.61,802.4216,42.93373056715358,-274.97528059101023,-28.459450477715624,102952.362,104339.069,794.4781927731691,-172.2899999999936,-0.16689285205730986,12.99265987108651,105122.8422,102030.9939,1.0,0,0,0
103061.62,103090.07,102853.81,102915.5,640.39455,41.90192338880831,-310.97587805154035,-84.96273599248057,102929.06,104221.29550000001,754.6054647179434,-146.11000000000058,-0.1417695687074949,-20.192259281155945,104973.81,101886.345,1.0,0,0,0
102915.5,103067.83,102782.6,102963.41,530.36927,42.390826137820795,-331.81570936049684,-134.33333066608384,103080.14199999999,104093.566,721.0786458095187,47.91000000000349,0.04655275444418461,-17.18085826932786,105022.67820000001,101933.77590000001,1.0,0,0,0
102963.4,102963.41,102126.16,102479.95,1052.78618,38.83902903489784,-382.92844660414266,-184.05235385369562,102930.874,103926.4525,729.3765996802674,-483.4600000000064,-0.4695454433764401,98.50059940312907,104529.549,101455.1505,1.0,0,0,0
102479.94,103527.89,102321.83,103294.11,1554.6245,46.9067275362336,-353.6629450531036,-217.97447209357722,102942.916,103849.3245,763.4254139888196,814.1600000000035,0.7944578427292459,47.667639406132764,105359.99220000001,102261.1689,1.0,0,0,0
